,weather,sum_counter,sum_bicycle
0,Leicht bewölkt,4377,1644828.0
1,Sonnig,491,140389.0
2,Bewölkt,323,96176.0
3,Bedeckt,555,158011.0
4,Leichter Regenfall,300,88239.0
5,Nieselregen,234,60808.0
6,Stellenweiser Regenfall,767,313021.0
7,Mäßiger Regenfall,249,51529.0
8,Leichte Eisregen,12,6131.0
9,Leichter Schneefall,35,6590.0
10,Starker Schneefall,135,20132.0
11,Stellenweise starker Schneefall,33,9466.0
12,Leichte Schneeschauer,12,1781.0
13,Mäßige bis starke Schneefälle,72,19247.0
14,Stellenweiser Nieselregen,87,24508.0
15,Mäßiger bis starker Regen mit Gewitter,9,1406.0
16,Mäßiger bis starker Eisregen,9,2819.0
17,Mäßiger bis starker Schneefall mit Gewitter,3,502.0
18,Leichter Eisregen,45,11299.0
19,Leichter Regenschauer,360,110241.0
20,Stellenweiser leichter Regenfall,57,18229.0
21,Stellenweise Gewitter und Niederschläge,24,12435.0
22,Stellenweiser Schneefall,6,958.0
23,Starker Regenfall,60,13469.0
24,Teilweise mäßiger Regenfall,57,13704.0
25,Stellenweiser Eisregen,6,1967.0
26,Leichter Nebel,214,45974.0
27,Schneesturm,9,1911.0
28,Stellenweise leichter Schneefall,15,4047.0
29,weather_condition_null,1,
30,Mäßiger Schneefall,30,7190.0
31,Nieselregen mit Gewitter,39,22396.0
32,Mäßiger bis starker Regenschauer,114,44189.0
33,Nebel,9,328.0
34,Sintflutartiger Regenfall,3,429.0
35,Teilweise starker Regenfall,3,29.0
36,Mäßiger bis starker gefrierender Regen,3,69.0
37,Stellenweise mäßiger Schneefall,27,3825.0
